DAUID,Population,Employment rate,Area,Total - Structural type of dwelling
35204481,469,73.8,56773.623455060304,175.0
35204482,453,61.2,70861.88359374557,155.0
35204483,413,62.0,44875.18766121553,175.0
35204484,456,55.3,67512.426827968,170.0
35204485,539,77.3,78821.56063407086,205.0
35204486,483,63.2,45972.89158143869,175.0
35204487,1648,55.4,31594.119744284613,805.0
35204488,1927,67.4,35038.275910856326,770.0
35204489,642,61.8,13089.340418495587,250.0
35204490,777,54.7,109681.50200644911,455.0
35204491,512,63.3,72774.6746749635,180.0
35204492,436,59.2,70419.24593180564,150.0
35204493,511,64.2,59473.00737260363,190.0
35204494,746,70.1,46246.99327484897,310.0
35204495,568,70.6,45366.5328954667,190.0
35204496,471,70.9,37351.83817412349,190.0
35204497,478,53.4,41358.037452370336,170.0
35204498,501,80.0,61933.39670216962,200.0
35204499,563,53.5,52913.05078749151,235.0
35204500,539,21.4,99221.48021521531,390.0
35204501,436,69.7,57162.53216912573,195.0
35204502,573,73.7,56908.46058202132,280.0
35204503,511,71.4,58520.78896403565,355.0
35204504,468,74.1,84986.40016498859,275.0
35204505,966,68.1,40584.58686811951,635.0
35204506,784,45.4,47606.0115980996,505.0
35204507,944,69.6,32919.58289307654,695.0
35204508,585,66.3,36824.23426407685,370.0
35204509,530,62.8,188943.77413916469,235.0
35204510,532,65.3,65209.99214382989,305.0
35204511,575,64.8,244817.8632091903,225.0
35204512,516,67.1,77382.01284472621,210.0
35204513,387,68.8,36842.00192458757,140.0
35204514,473,63.3,54172.925507300424,190.0
35204515,697,67.8,83745.15983708146,260.0
35204516,716,57.9,72124.89322549809,275.0
35204517,436,52.6,80211.7199856455,160.0
35204518,568,54.8,55334.68612896255,210.0
35204519,454,59.5,51983.999825617226,170.0
35204520,635,63.0,37064.743804978374,295.0
35204521,421,47.8,46256.61403738613,170.0
35204522,450,58.5,46121.38290015119,150.0
35204523,655,72.9,69001.44267698989,255.0
35204524,420,63.4,40714.15521102744,165.0
35204525,335,61.4,30411.29922161904,115.0
35204526,602,70.0,48400.04083016553,235.0
35204527,499,69.9,66078.29334780005,180.0
35204528,475,63.4,55872.57209330593,180.0
35204529,513,64.7,70056.27504789333,215.0
35204530,505,79.8,83795.2375152121,215.0
35204531,526,78.7,63441.764587965125,230.0
35204532,504,50.6,22017.910093928876,280.0
35204533,1029,66.7,30623.084433456082,570.0
35204534,437,72.0,34243.64274779777,225.0
35204535,1499,76.0,44446.79189432001,890.0
35204536,860,58.2,27710.687267791785,410.0
35204537,633,63.5,43269.326953103846,315.0
35204538,514,73.5,87192.10657248436,190.0
35204539,527,81.2,56860.257163028014,260.0
35204540,597,79.6,121469.55084406344,270.0
35204541,631,71.6,78250.91549196161,235.0
35204542,443,62.3,48424.53464603899,175.0
35204543,684,59.2,84852.61869125902,510.0
35204544,592,46.8,28004.547067717318,370.0
35204545,513,63.1,22530.262206609714,230.0
35204546,484,60.2,55058.65189989937,175.0
35204547,466,60.0,50847.33526113751,170.0
35204548,1079,63.8,53679.446732710036,450.0
35204549,436,67.6,154656.31035383465,150.0
35204550,408,71.0,49196.08411626902,160.0
35204551,416,62.3,47212.22366612528,125.0
35204552,477,76.8,120381.49739243658,155.0
35204553,480,62.8,59877.829073506975,145.0
35204554,557,69.4,72069.05432808696,175.0
35204555,561,65.6,228005.88669376852,190.0
35204556,603,75.0,51634.19248232136,190.0
35204557,454,81.9,52058.58114597298,170.0
35204558,757,75.2,18997.59309888265,560.0
35204559,422,76.0,204070.50700568318,230.0
35204560,534,73.6,66078.76033013135,210.0
35204561,566,73.3,54227.87904552646,285.0
35204562,599,69.4,48767.39645921856,315.0
35204563,1569,63.8,49657.861805074754,830.0
